t 	 Richness 	 Shannon Index 
222 	 156 	 2.215464 	 0.438718 
223 	 156 	 2.212369 	 0.438105 
224 	 159 	 2.210872 	 0.436164 
225 	 159 	 2.208808 	 0.435756 
226 	 161 	 2.207035 	 0.434336 
227 	 162 	 2.203842 	 0.433179 
228 	 162 	 2.201865 	 0.432791 
229 	 162 	 2.199917 	 0.432408 
230 	 162 	 2.198234 	 0.432077 
231 	 163 	 2.195971 	 0.431111 
232 	 163 	 2.195448 	 0.431008 
233 	 162 	 2.192939 	 0.431036 
234 	 162 	 2.191728 	 0.430798 
235 	 163 	 2.189839 	 0.429907 
236 	 169 	 2.188149 	 0.426548 
237 	 170 	 2.185987 	 0.425637 
238 	 170 	 2.185183 	 0.425481 
239 	 169 	 2.183670 	 0.425675 
240 	 171 	 2.182027 	 0.424381 
241 	 171 	 2.180828 	 0.424148 
242 	 169 	 2.179080 	 0.424780 
243 	 165 	 2.178106 	 0.426582 
244 	 167 	 2.176680 	 0.425300 
245 	 168 	 2.175921 	 0.424656 
246 	 168 	 2.175123 	 0.424500 
247 	 168 	 2.174291 	 0.424338 
248 	 168 	 2.173597 	 0.424202 
249 	 169 	 2.173341 	 0.423662 
250 	 170 	 2.172627 	 0.423036 
251 	 170 	 2.171730 	 0.422861 
252 	 166 	 2.170944 	 0.424677 
253 	 168 	 2.170496 	 0.423597 
254 	 166 	 2.168615 	 0.424222 
255 	 163 	 2.167186 	 0.425460 
256 	 164 	 2.166267 	 0.424769 
257 	 164 	 2.164481 	 0.424419 
258 	 165 	 2.162643 	 0.423554 
259 	 166 	 2.158191 	 0.422182 
260 	 166 	 2.156159 	 0.421785 
261 	 166 	 2.152224 	 0.421015 
262 	 167 	 2.150860 	 0.420254 
263 	 168 	 2.145771 	 0.418772 
264 	 165 	 2.141872 	 0.419486 
265 	 163 	 2.137778 	 0.419686 
266 	 164 	 2.135758 	 0.418787 
267 	 164 	 2.131396 	 0.417932 
268 	 162 	 2.122814 	 0.417253 
269 	 160 	 2.121120 	 0.417940 
270 	 159 	 2.113504 	 0.416955 
271 	 161 	 2.108321 	 0.414909 
272 	 161 	 2.106776 	 0.414605 
273 	 160 	 2.101024 	 0.413981 
274 	 159 	 2.095332 	 0.413370 
275 	 160 	 2.089307 	 0.411672 
276 	 161 	 2.079515 	 0.409240 
277 	 162 	 2.075589 	 0.407971 
278 	 161 	 2.064540 	 0.406293 
279 	 161 	 2.058520 	 0.405109 
280 	 160 	 2.050916 	 0.404108 
281 	 159 	 2.045660 	 0.403571 
282 	 158 	 2.035600 	 0.402086 
283 	 156 	 2.028960 	 0.401786 
284 	 154 	 2.021181 	 0.401271 
285 	 154 	 2.015933 	 0.400229 
286 	 153 	 2.009833 	 0.399534 
287 	 151 	 1.998309 	 0.398285 
288 	 152 	 1.994468 	 0.396998 
289 	 151 	 1.982366 	 0.395108 
290 	 151 	 1.970491 	 0.392741 
291 	 146 	 1.961525 	 0.393595 
292 	 147 	 1.958215 	 0.392394 
293 	 145 	 1.949055 	 0.391633 
294 	 144 	 1.939692 	 0.390295 
295 	 143 	 1.931768 	 0.389246 
296 	 139 	 1.917500 	 0.388593 
297 	 134 	 1.907284 	 0.389413 
298 	 135 	 1.906697 	 0.388703 
299 	 129 	 1.895744 	 0.390086 
300 	 128 	 1.893526 	 0.390254 
301 	 129 	 1.893661 	 0.389657 
302 	 130 	 1.897178 	 0.389762 
303 	 130 	 1.912841 	 0.392979 
304 	 131 	 1.933731 	 0.396647 
305 	 132 	 1.966543 	 0.402749 
306 	 133 	 2.015034 	 0.412043 
307 	 128 	 2.060236 	 0.424613 
308 	 126 	 2.085262 	 0.431171 
309 	 126 	 2.116105 	 0.437548 
310 	 127 	 2.144576 	 0.442711 
311 	 128 	 2.159145 	 0.444998 
312 	 124 	 2.165695 	 0.449288 
313 	 120 	 2.168434 	 0.452937 
314 	 122 	 2.170010 	 0.451707 
315 	 124 	 2.170779 	 0.450343 
316 	 117 	 2.170832 	 0.455849 
317 	 111 	 2.170402 	 0.460853 
318 	 108 	 2.170005 	 0.463465 
319 	 101 	 2.169138 	 0.470007 
320 	 95 	 2.167957 	 0.476068 
321 	 90 	 2.166378 	 0.481438 
322 	 90 	 2.164031 	 0.480916 
323 	 87 	 2.161138 	 0.483919 
324 	 81 	 2.155529 	 0.490512 
325 	 78 	 2.150216 	 0.493541 
326 	 79 	 2.141645 	 0.490141 
327 	 80 	 2.138952 	 0.488119 
328 	 80 	 2.129057 	 0.485861 
329 	 82 	 2.121243 	 0.481366 
330 	 82 	 2.113130 	 0.479524 
331 	 82 	 2.106177 	 0.477947 
332 	 82 	 2.100700 	 0.476704 
333 	 83 	 2.097193 	 0.474603 
334 	 84 	 2.093961 	 0.472590 
335 	 84 	 2.093121 	 0.472401 
336 	 86 	 2.093077 	 0.469895 
337 	 87 	 2.093997 	 0.468885 
338 	 86 	 2.095139 	 0.470358 
339 	 87 	 2.096777 	 0.469507 
340 	 87 	 2.098764 	 0.469952 
341 	 86 	 2.101026 	 0.471680 
342 	 85 	 2.103082 	 0.473385 
343 	 85 	 2.104633 	 0.473734 
344 	 85 	 2.105495 	 0.473928 
345 	 88 	 2.105316 	 0.470216 
346 	 88 	 2.104374 	 0.470006 
347 	 89 	 2.101816 	 0.468253 
348 	 90 	 2.101316 	 0.466979 
349 	 91 	 2.100099 	 0.465565 
350 	 94 	 2.099194 	 0.462042 
351 	 94 	 2.099286 	 0.462062 
352 	 96 	 2.101510 	 0.460418 
353 	 98 	 2.103604 	 0.458804 
354 	 100 	 2.110055 	 0.458193 
355 	 101 	 2.116205 	 0.458537 
356 	 105 	 2.123611 	 0.456302 
357 	 103 	 2.133943 	 0.460424 
358 	 102 	 2.150484 	 0.464972 
359 	 102 	 2.160251 	 0.467084 
360 	 103 	 2.169438 	 0.468083 
361 	 101 	 2.178980 	 0.472139 
362 	 103 	 2.185840 	 0.471622 
363 	 103 	 2.191197 	 0.472778 
364 	 104 	 2.193330 	 0.472254 
365 	 106 	 2.193896 	 0.470446 
366 	 107 	 2.192995 	 0.469308 
367 	 108 	 2.190894 	 0.467927 
368 	 110 	 2.189569 	 0.465818 
369 	 112 	 2.186886 	 0.463471 
370 	 112 	 2.184385 	 0.462941 
371 	 109 	 2.181400 	 0.464984 
372 	 109 	 2.175975 	 0.463827 
373 	 109 	 2.175326 	 0.463689 
374 	 107 	 2.168319 	 0.464027 
375 	 103 	 2.163816 	 0.466870 
376 	 103 	 2.158902 	 0.465810 
377 	 104 	 2.155223 	 0.464049 
378 	 103 	 2.149684 	 0.463821 
379 	 105 	 2.145616 	 0.461030 
380 	 107 	 2.141166 	 0.458216 
381 	 107 	 2.135324 	 0.456966 
382 	 110 	 2.127886 	 0.452696 
383 	 113 	 2.124023 	 0.449302 
384 	 116 	 2.119518 	 0.445877 
385 	 119 	 2.115122 	 0.442575 
386 	 121 	 2.112406 	 0.440471 
387 	 126 	 2.110141 	 0.436315 
388 	 128 	 2.108587 	 0.434578 
389 	 128 	 2.107536 	 0.434362 
390 	 131 	 2.107468 	 0.432284 
391 	 130 	 2.107524 	 0.432976 
392 	 130 	 2.107642 	 0.433000 
393 	 129 	 2.107427 	 0.433644 
394 	 130 	 2.106097 	 0.432683 
395 	 131 	 2.104715 	 0.431719 
396 	 131 	 2.099049 	 0.430557 
397 	 130 	 2.097534 	 0.430923 
398 	 133 	 2.089948 	 0.427362 
399 	 134 	 2.082266 	 0.425140 
400 	 132 	 2.073909 	 0.424737 
401 	 132 	 2.070602 	 0.424060 
402 	 132 	 2.066001 	 0.423118 
403 	 131 	 2.060996 	 0.422751 
404 	 135 	 2.056242 	 0.419190 
405 	 133 	 2.054077 	 0.420027 
406 	 133 	 2.053940 	 0.419999 
407 	 133 	 2.056930 	 0.420610 
408 	 133 	 2.062685 	 0.421787 
409 	 134 	 2.073174 	 0.423283 
410 	 136 	 2.081861 	 0.423775 
411 	 134 	 2.094712 	 0.427681 
412 	 133 	 2.098290 	 0.429068 
413 	 138 	 2.104428 	 0.427100 
414 	 138 	 2.104502 	 0.427115 
415 	 138 	 2.101892 	 0.426585 
416 	 135 	 2.093365 	 0.426758 
417 	 135 	 2.090309 	 0.426135 
418 	 129 	 2.086036 	 0.429242 
419 	 128 	 2.083546 	 0.429417 
420 	 130 	 2.080768 	 0.427479 
421 	 129 	 2.078045 	 0.427598 
422 	 125 	 2.076610 	 0.430090 
423 	 119 	 2.075500 	 0.434285 
424 	 119 	 2.074791 	 0.434136 
425 	 118 	 2.074808 	 0.434908 
426 	 114 	 2.075055 	 0.438127 
427 	 112 	 2.075366 	 0.439836 
428 	 115 	 2.075414 	 0.437396 
429 	 115 	 2.074880 	 0.437283 
430 	 112 	 2.072137 	 0.439152 
431 	 112 	 2.068701 	 0.438423 
432 	 113 	 2.063752 	 0.436552 
433 	 114 	 2.060023 	 0.434953 
434 	 115 	 2.052867 	 0.432644 
435 	 118 	 2.048226 	 0.429336 
436 	 121 	 2.043747 	 0.426154 
437 	 115 	 2.040432 	 0.430023 
438 	 117 	 2.038097 	 0.427976 
439 	 119 	 2.036573 	 0.426139 
440 	 119 	 2.036186 	 0.426058 
441 	 117 	 2.036401 	 0.427620 
442 	 119 	 2.037385 	 0.426309 
443 	 117 	 2.037856 	 0.427925 
444 	 119 	 2.040255 	 0.426910 
445 	 119 	 2.042226 	 0.427322 
446 	 120 	 2.046725 	 0.427515 
447 	 121 	 2.048270 	 0.427097 
448 	 122 	 2.051180 	 0.426971 
449 	 124 	 2.057154 	 0.426770 
450 	 126 	 2.061383 	 0.426233 
451 	 126 	 2.066792 	 0.427351 
452 	 125 	 2.071838 	 0.429102 
453 	 127 	 2.074169 	 0.428177 
454 	 128 	 2.079266 	 0.428535 
455 	 124 	 2.080704 	 0.431656 
456 	 118 	 2.080662 	 0.436135 
457 	 114 	 2.078964 	 0.438952 
458 	 118 	 2.074639 	 0.434872 
459 	 118 	 2.072662 	 0.434458 
460 	 120 	 2.065752 	 0.431490 
461 	 121 	 2.056052 	 0.428720 
462 	 121 	 2.044969 	 0.426409 
463 	 120 	 2.027477 	 0.423495 
464 	 120 	 2.017830 	 0.421479 
465 	 123 	 2.008156 	 0.417307 
466 	 120 	 1.997158 	 0.417162 
467 	 119 	 1.983620 	 0.415059 
468 	 122 	 1.974233 	 0.410954 
469 	 120 	 1.961452 	 0.409704 
470 	 121 	 1.959899 	 0.408671 
471 	 123 	 1.960643 	 0.407433 
472 	 123 	 1.974803 	 0.410376 
473 	 125 	 1.976613 	 0.409380 
474 	 119 	 2.021321 	 0.422948 
475 	 119 	 2.024320 	 0.423576 
476 	 120 	 2.050641 	 0.428333 
477 	 124 	 2.065229 	 0.428446 
478 	 126 	 2.065275 	 0.427038 
479 	 126 	 2.054855 	 0.424883 
480 	 129 	 2.035479 	 0.418839 
481 	 128 	 2.022882 	 0.416915 
482 	 132 	 2.013869 	 0.412441 
483 	 132 	 1.999476 	 0.409494 
484 	 127 	 1.992404 	 0.411298 
485 	 125 	 1.990603 	 0.412277 
486 	 121 	 1.983465 	 0.413585 
487 	 118 	 1.979927 	 0.415019 
488 	 115 	 1.977711 	 0.416805 
489 	 116 	 1.977338 	 0.415967 
490 	 117 	 1.978957 	 0.415558 
491 	 118 	 1.985368 	 0.416160 
492 	 117 	 2.002623 	 0.420527 
493 	 119 	 2.013859 	 0.421387 
494 	 121 	 2.035852 	 0.424508 
495 	 127 	 2.057802 	 0.424798 
496 	 131 	 2.073787 	 0.425375 
497 	 133 	 2.078708 	 0.425063 
498 	 135 	 2.078718 	 0.423772 
499 	 137 	 2.076640 	 0.422083 
500 	 142 	 2.073239 	 0.418344 
501 	 142 	 2.071682 	 0.418029 
502 	 129 	 2.068683 	 0.425671 
503 	 129 	 2.068047 	 0.425540 
504 	 128 	 2.066440 	 0.425892 
505 	 124 	 2.064814 	 0.428360 
506 	 123 	 2.063201 	 0.428745 
507 	 117 	 2.061155 	 0.432818 
508 	 115 	 2.057443 	 0.433609 
509 	 116 	 2.054673 	 0.432236 
510 	 115 	 2.050015 	 0.432043 
511 	 116 	 2.044970 	 0.430195 
512 	 119 	 2.037893 	 0.426416 
513 	 123 	 2.032757 	 0.422419 
514 	 125 	 2.031022 	 0.420648 
515 	 124 	 2.036183 	 0.422420 
516 	 126 	 2.048351 	 0.423538 
517 	 129 	 2.072894 	 0.426538 
518 	 133 	 2.092997 	 0.427985 
519 	 138 	 2.098772 	 0.425952 
520 	 138 	 2.098354 	 0.425867 
521 	 143 	 2.091082 	 0.421348 
522 	 146 	 2.078590 	 0.417085 
523 	 147 	 2.073199 	 0.415435 
524 	 142 	 2.064918 	 0.416665 
525 	 142 	 2.057840 	 0.415236 
526 	 129 	 2.049927 	 0.421812 
527 	 121 	 2.047500 	 0.426937 
528 	 112 	 2.039580 	 0.432252 
